Job ID,Job Title,Company,Location,Remote,Salary,Job Type,Rating,Reviews,Posted,Benefits,Skills (detected),Apply Link,Description
200f23ac4d489870,"Sr. Specialist, Software Engineering",L3Harris Technologies,"Melbourne, FL",No,,,4.0,5881,Just posted,,"python, excel, machine learning, aws",https://www.indeed.com/applystart?jk=200f23ac4d489870&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nand2qiuec800&astse=8f31401375cd2177&assa=8952&params=mobvjtk=1j4nand2qiuec800&jk=200f23ac4d489870,"L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared dedication to our customers’ mission and quest for professional growth. L3Harris provides an inclusive, engaging environment designed to empower employees and promote work-life success. Fundamental to our culture is an unwavering focus on values, dedication to our communities, and commitment to excellence in everything we do. L3Harris Technologies..."
558c7d18d67d8cbb,Senior Data Engineer - Remote,Southern Trust Insurance Company,"Macon, GA 31210",No,,Full-time,3.2,9,Just posted,,"python, java, sql, excel, machine learning, aws",https://www.indeed.com/viewjob?jk=558c7d18d67d8cbb,"Summary The Senior Data Engineer role is critical to designing, building, testing, and maintaining our data warehouse and broader data platform. This position plays a key role in enabling data-driven decision-making by ensuring business teams have access to clean, performant, and well-modeled data. The Senior Data Engineer will transform raw data into actionable insights through scalable pipelines, robust data models, and intuitive reporting tools. Key Responsibilities Data Platform Development ..."
b09a893365d25095,Staff Data Lake Engineer,WEX Inc.,"Portland, ME",No,"$135,000 - $180,000 a year",Full-time,3.1,324,Just posted,,"python, java, excel, aws",https://www.indeed.com/applystart?jk=b09a893365d25095&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4namvudglls805&astse=5f06e4ef26f4bbb5&assa=5538&params=mobvjtk=1j4namvudglls805&jk=b09a893365d25095,"This is a remote position; however, the candidate must reside within 30 miles of one of the following locations: Portland, ME; Boston, MA; Chicago, IL; Dallas, TX; San Francisco Bay Area, CA; and Seattle/WA. About the role/Team As a Staff Software Engineer on the Data Lake Engineering team, you will be a key technical leader in developing our enterprise data platform. Your mission is to build a unified, intelligent data infrastructure using a data lakehouse architecture that boosts developer pro..."
acfa0510a97a02f8,Python Developer with Machine Learning Experience,Eccalon LLC,"Hanover, MD 21076",No,,,4.0,2,Just posted,,"python, machine learning, aws",https://www.indeed.com/applystart?jk=acfa0510a97a02f8&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nalvlcg2m0808&astse=7348cc2cdb2cc591&assa=2388&params=mobvjtk=1j4nalvlcg2m0808&jk=acfa0510a97a02f8,"Job Description We are seeking a skilled Python Developer to join our team, working with machine learning to build innovative solutions. This role is ideal for someone with a passion for developing advanced systems and applying machine learning techniques to complex, data-driven challenges. As part of our team, you will work on cutting-edge projects that require the application of the latest research in machine learning and deep learning. Key Responsibilities Design and implement Python-based sy..."
ec78311337126a7b,Semantic Data Engineer,Cambia Health Solutions,"Portland, OR",No,"$115,000 - $135,000 a year",Full-time,3.5,253,Just posted,,"python, sql, excel, aws",https://www.indeed.com/applystart?jk=ec78311337126a7b&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4namv3mj729800&astse=22e9f887b06849ec&assa=4608&params=mobvjtk=1j4namv3mj729800&jk=ec78311337126a7b,"SEMANTIC DATA ENGINEER (HEALTHCARE) Telecommute (Possible 2026 Return to office) - within Oregon, Washington, Idaho or Utah Build a career with purpose. Join our Cause to create a person-focused and economically sustainable health care system. Who We Are Looking For: Every day, Cambia’s Data & Analytics Engineering Team is living our mission to make health care easier and lives better. We’re seeking a skilled Data and Analytics Engineer with significant experience engineering semantic layers to ..."
5d110af86c6b7747,Senior Software Engineer,Cotiviti,Remote,Yes,"$105,000 - $145,000 a year",Full-time,3.3,638,Just posted,,"java, sql",https://www.indeed.com/applystart?jk=5d110af86c6b7747&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nam0p1gmhm800&astse=787fbb426db21806&assa=3528&params=mobvjtk=1j4nam0p1gmhm800&jk=5d110af86c6b7747,"Overview: Cotiviti is a leading solutions and analytics company that leverages unparalleled clinical and financial datasets to deliver deep insight into the performance of the healthcare system. These insights uncover new opportunities for healthcare organizations to collaborate to improve their financial performance, reduce inefficiency, and improve healthcare quality. The Senior Software Engineer I role is primarily responsible for the support of the existing software applications and enhanced..."
8159bc4639565cad,"Data Management, Professional 4",AutoNation,"Fort Lauderdale, FL 33301",No,,Full-time,3.3,4374,Just posted,,"python, sql, aws",https://www.indeed.com/applystart?jk=8159bc4639565cad&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nam30ti9ft800&astse=fd8fe060be257f94&assa=5850&params=mobvjtk=1j4nam30ti9ft800&jk=8159bc4639565cad,"AutoNation is one of the largest automotive retailers in the United States, offering innovative products, exceptional services, and comprehensive solutions, empowering our customers to make the best decisions for their needs. With a network of dealerships nationwide strengthened by a recognized brand, we offer a wide variety of new and used vehicles, customer financing, parts, and provide expert maintenance and repair services. Through DRV PNK, we have raised over $40 million for cancer-related ..."
a633903062e8f50e,"Data Engineer II, Amazon Key",Amazon.com Services LLC,"Seattle, WA",No,"$118,900 - $205,600 a year",Full-time,3.5,53845,Just posted,,"python, sql, excel, aws",https://www.indeed.com/applystart?jk=a633903062e8f50e&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nam3c12h28001&astse=2cde6e8a283d0069&assa=6213&params=mobvjtk=1j4nam3c12h28001&jk=a633903062e8f50e,"DESCRIPTION We are actively seeking a motivated and multi-talented individual who is passionate, highly autonomous and have deep expertise in the design, creation, and management of large and complex datasets. You should be an authority at crafting, implementing, and operating stable, scalable solutions to flow huge amounts of data from production systems into the Redshift cluster, and build complex transforms to compute and store new data developed by the software teams. Key job responsibilitie..."
77bd0ae5d27d182e,Software Engineer,"Community Financial System, Inc.","Woburn, MA 01801",No,"$92,000 - $160,592 a year",Full-time,3.5,198,Just posted,,"sql, excel",https://www.indeed.com/applystart?jk=77bd0ae5d27d182e&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nam4c1gc2n801&astse=8c921e62fba4c6d0&assa=7307&params=mobvjtk=1j4nam4c1gc2n801&jk=77bd0ae5d27d182e,"Overview: Northeast Retirement Services (NRS), a subsidiary of Community Financial System, Inc. offers administration and processing solutions for large Financial Services organizations in the area of employee benefit plans and charitable programs, including services for all types of defined contribution, defined benefit plans, endowment programs and charitable trusts. Our clients include Institutional Investors, brokers, advisors and financial services firms requiring flexible, customized platf..."
91cfe1b89831e8fe,Data Engineer II - AWS / Python,JPMorganChase,"Plano, TX 75024",No,,Full-time,3.9,20101,Just posted,,"python, java, sql, excel, aws",https://www.indeed.com/applystart?jk=91cfe1b89831e8fe&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nam6gaiv93800&astse=d2de593dae1b1097&assa=9433&params=mobvjtk=1j4nam6gaiv93800&jk=91cfe1b89831e8fe,"JOB DESCRIPTION You thrive on diversity and creativity, and we welcome individuals who share our vision of making a lasting impact. Your unique combination of design thinking and experience will help us achieve new heights. As a Data Engineer II at JPMorgan Chase within the Wealth Management division, you will be part of an agile team dedicated to enhancing, designing, and delivering data collection, storage, access, and analytics solutions in a secure, stable, and scalable manner. As an emergin..."
